id_personne;code_dept_naiss;code_lim_jur;code_pays_naiss;code_pays_nat_1;code_sit_familiale;intitule_lieu_naissance
99050;94;NULL;FR;FR;2;ST MANDE
99650;72;NULL;FR;FR;1;LE MANS
101530;76;NULL;FR;FR;1;ROUEN
101700;69;NULL;FR;FR;2;VENISSIEUX
101830;41;NULL;FR;FR;3;BLOIS
101890;NULL;NULL;FR;FR;7;
102140;28;NULL;FR;FR;5;CHARTRES
104860;18;NULL;FR;FR;1;BOURGES
105750;18;NULL;FR;FR;6;BOURGES
106070;93;NULL;FR;FR;1;DRANCY
106240;NULL;NULL;FR;FR;1;
106260;59;NULL;FR;FR;3;LILLE
106710;NULL;NULL;FR;FR;1;
106770;18;NULL;FR;FR;2;BOURGES
109010;21;NULL;FR;FR;2;CHENOVE
109100;NULL;NULL;FR;FR;1;
109290;36;NULL;FR;FR;5;SAZERAY
109970;65;NULL;FR;FR;2;LAU BALAGNAS
110830;3;NULL;FR;FR;4;MONTLUCON
110960;27;NULL;FR;FR;3;VERNEUIL SUR AVRE
111010;18;NULL;FR;FR;1;ST AMAND MONTROND
111040;NULL;NULL;FR;FR;5;
111270;NULL;NULL;FR;FR;7;
111320;37;NULL;FR;FR;2;CHAMBRAY LES TOURS
111350;NULL;NULL;DZ;FR;2;ALGER
111440;57;NULL;FR;FR;5;SARRALBE
111460;37;NULL;FR;FR;2;TOURS
111560;45;NULL;FR;FR;2;ORLEANS
111590;62;NULL;FR;FR;7;FOUQUIERES LES BETHUNE
111660;36;NULL;FR;FR;2;ISSOUDUN
111680;NULL;NULL;FR;FR;2;
111730;NULL;NULL;FR;FR;2;
111780;58;NULL;FR;FR;2;GUERIGNY
111830;21;NULL;FR;FR;2;DIJON
111840;NULL;NULL;FR;FR;1;
112080;89;NULL;FR;FR;5;SENS
112330;64;NULL;FR;FR;1;ST JEAN DE LUZ
112750;58;NULL;FR;FR;2;EPIRY
112780;33;NULL;FR;FR;2;MERIGNAC
112790;73;NULL;FR;FR;5;CHAMBERY
112860;45;NULL;FR;FR;2;MEUNG S LOIRE
112990;26;NULL;FR;FR;3;CREST
113090;59;NULL;FR;FR;2;MARCHIENNES CAMPAGNE
113120;31;NULL;FR;FR;2;TOULOUSE
