id_personne,code_dept_naiss,code_lim_jur,code_pays_naiss,code_pays_nat_1,code_sit_familiale,intitule_lieu_naissance
0000065840,45,NULL,FR,FR,02,ORLEANS
0000065850,NULL,NULL,FR,FR,02,
0000066200,45,NULL,FR,FR,04,ORLEANS
0000066440,NULL,NULL,FR,FR,02,
0000066940,93,NULL,FR,FR,05,VILLEMOMBLE
0000067270,75,NULL,FR,FR,06,PARIS 04
0000067290,76,NULL,FR,FR,07,SOTTEVILLE LES ROUEN
0000067530,NULL,NULL,FR,FR,02,
0000067760,NULL,NULL,FR,FR,02,
0000068560,41,NULL,FR,FR,02,ORLEANS
0000069910,NULL,NULL,FR,FR,02,
0000070150,16,NULL,FR,FR,07,ASNIERES SUR NOUERE
0000070580,45,NULL,FR,FR,02,ORLEANS
0000071240,NULL,NULL,FR,FR,01,
0000072320,94,NULL,FR,FR,02,ALFORTVILLE
0000072880,75,NULL,FR,FR,03,PARIS 20
0000072900,01,NULL,FR,FR,01,OYONNAX
0000073370,45,NULL,FR,FR,05,PITHIVIERS
0000073700,35,NULL,FR,FR,02,RENNES
0000073730,NULL,NULL,FR,NULL,03,
0000076890,37,NULL,FR,FR,06,CHINON
0000077130,18,NULL,FR,FR,07,VIERZON
0000077630,86,NULL,FR,FR,02,CHATELLERAULT
0000078320,NULL,NULL,FR,FR,07,
0000078590,21,NULL,FR,FR,03,SEMUR EN AUXOIS
0000078620,18,NULL,FR,FR,02,VIERZON
0000079070,37,NULL,FR,FR,02,SAINT SYMPHORIEN
0000079170,94,NULL,FR,FR,05,NOGENT SUR MARNE
0000079520,10,NULL,FR,FR,01,PINEY
0000079910,21,NULL,FR,FR,01,AUXONNE
0000079990,28,NULL,FR,FR,02,CHARTES
0000080100,NULL,NULL,FR,FR,07,
0000080190,13,NULL,FR,FR,05,TARASCON
0000080480,NULL,NULL,FR,FR,07,
0000080490,92,NULL,FR,FR,02,NEUILLY SUR SEINE
0000080590,41,NULL,FR,FR,02,CHAMPIGNY EN BEAUCE
0000080770,21,NULL,FR,FR,01,DIJON
0000080810,37,NULL,FR,FR,02,TOURS
0000080990,NULL,NULL,FR,FR,02,
0000081060,NULL,NULL,FR,FR,03,
0000081470,41,NULL,FR,FR,02,BLOIS
0000081520,45,NULL,FR,FR,01,MONTARGIS
0000081720,NULL,NULL,DE,FR,02,BRISACH
0000081930,77,NULL,FR,FR,02,FONTAINEBLEAU
0000081970,89,NULL,FR,FR,01,LES BORDES
0000082460,37,NULL,FR,FR,07,
0000082570,NULL,NULL,FR,FR,01,
0000082580,29,NULL,FR,FR,01,BREST
0000082670,41,NULL,FR,FR,02,SAVIGNY SUR BRAYE
0000083610,NULL,NULL,FR,FR,01,
0000083870,13,NULL,FR,FR,02,MARSEILLE
0000084690,51,NULL,FR,FR,02,VITRY LE FRANCOIS
0000085520,86,NULL,FR,FR,02,POITIERS
0000085740,NULL,NULL,FR,FR,07,
0000086200,NULL,NULL,FR,FR,01,
0000086400,28,NULL,FR,FR,02,SANCHEVILLE
0000087370,NULL,NULL,FR,FR,02,
0000088340,972,NULL,FR,FR,07,STE MARIE
0000088840,37,NULL,FR,FR,04,TOURS
0000089480,21,NULL,FR,FR,05,DIJON
0000089510,NULL,NULL,FR,FR,01,
0000090540,21,001,FR,FR,02,DIJON
0000090590,37,NULL,FR,FR,06,TOURS
0000090650,39,NULL,FR,FR,02,DOLE
0000091290,NULL,NULL,FR,FR,05,
0000091380,86,NULL,FR,FR,03,CHATELLERAULT
0000093050,18,NULL,FR,FR,03,BOURGES
0000094130,91,NULL,FR,FR,02,CORBEIL ESSONNES
0000094860,41,NULL,FR,FR,03,BLOIS
0000094930,41,NULL,FR,FR,03,MONTOIRE SUR LE LOIR
0000095740,59,NULL,FR,FR,01,VALENCIENNES
0000096020,41,NULL,FR,FR,01,BLOIS
0000096110,58,NULL,FR,FR,01,NEVERS
0000097010,NULL,NULL,FR,FR,02,
0000098250,70,NULL,FR,FR,02,PLANCHER LES MINES
0000099050,94,NULL,FR,FR,02,ST MANDE
0000099650,72,NULL,FR,FR,01,LE MANS
0000101530,76,NULL,FR,FR,01,ROUEN
0000101700,69,NULL,FR,FR,02,VENISSIEUX
0000101830,41,NULL,FR,FR,03,BLOIS
0000101890,NULL,NULL,FR,FR,07,
0000102140,28,NULL,FR,FR,05,CHARTRES
0000104860,18,NULL,FR,FR,01,BOURGES
0000105750,18,NULL,FR,FR,06,BOURGES
0000106070,93,NULL,FR,FR,01,DRANCY
0000106240,NULL,NULL,FR,FR,01,
0000106260,59,NULL,FR,FR,03,LILLE
0000106710,NULL,NULL,FR,FR,01,
0000106770,18,NULL,FR,FR,02,BOURGES
0000109010,21,NULL,FR,FR,02,CHENOVE
0000109100,NULL,NULL,FR,FR,01,
0000109290,36,NULL,FR,FR,05,SAZERAY
0000109970,65,NULL,FR,FR,02,LAU BALAGNAS
0000110830,03,NULL,FR,FR,04,MONTLUCON
0000110960,27,NULL,FR,FR,03,VERNEUIL SUR AVRE
0000111010,18,NULL,FR,FR,01,ST AMAND MONTROND
0000111040,NULL,NULL,FR,FR,05,
0000111270,NULL,NULL,FR,FR,07,
0000111320,37,NULL,FR,FR,02,CHAMBRAY LES TOURS
0000111350,NULL,NULL,DZ,FR,02,ALGER
0000111440,57,NULL,FR,FR,05,SARRALBE
0000111460,37,NULL,FR,FR,02,TOURS
0000111560,45,NULL,FR,FR,02,ORLEANS
0000111590,62,NULL,FR,FR,07,FOUQUIERES LES BETHUNE
0000111660,36,NULL,FR,FR,02,ISSOUDUN
0000111680,NULL,NULL,FR,FR,02,
0000111730,NULL,NULL,FR,FR,02,
0000111780,58,NULL,FR,FR,02,GUERIGNY
0000111830,21,NULL,FR,FR,02,DIJON
0000111840,NULL,NULL,FR,FR,01,
0000112080,89,NULL,FR,FR,05,SENS
0000112330,64,NULL,FR,FR,01,ST JEAN DE LUZ
0000112750,58,NULL,FR,FR,02,EPIRY
0000112780,33,NULL,FR,FR,02,MERIGNAC
0000112790,73,NULL,FR,FR,05,CHAMBERY
0000112860,45,NULL,FR,FR,02,MEUNG S LOIRE
0000112990,26,NULL,FR,FR,03,CREST
0000113090,59,NULL,FR,FR,02,MARCHIENNES CAMPAGNE
0000113120,31,NULL,FR,FR,02,TOULOUSE
0000113140,NULL,NULL,MA,FR,01,CASABLANCA
0000113160,16,NULL,FR,FR,02,ANGOULEME
0000113440,NULL,NULL,DE,FR,03,ALLEMAGNE
0000113880,NULL,NULL,FR,FR,07,
0000113970,18,NULL,FR,FR,07,BOURGES
0000114580,36,NULL,FR,FR,02,PAULNAY
0000114750,24,NULL,FR,FR,02,PERIGUEUX
0000115110,NULL,NULL,FR,FR,07,
0000115520,18,NULL,FR,FR,02,BOURGES
0000116080,18,NULL,FR,FR,02,GENOUILLY
0000116840,92,NULL,FR,FR,02,PUTEAUX
0000117400,NULL,NULL,FR,FR,07,
0000117650,18,NULL,FR,FR,02,BOURGES
0000117760,21,NULL,FR,FR,07,DIJON
0000118190,NULL,NULL,DZ,FR,07,MASCARA
0000118330,NULL,NULL,FR,FR,01,
0000118510,21,NULL,FR,FR,01,BEAUNE
0000118710,21,NULL,FR,FR,02,POUILLY SUR VINGEANNE
0000118950,21,NULL,FR,FR,02,SANTOSSE
0000119310,71,NULL,FR,FR,07,MACON
0000119550,01,NULL,FR,FR,07,BEAUPONT
0000119750,89,NULL,FR,FR,02,JOIGNY
0000120070,21,NULL,FR,FR,07,DIJON
0000120980,71,NULL,FR,FR,02,PARAY LE MONIAL
0000121050,NULL,NULL,FR,FR,03,
0000121220,NULL,NULL,FR,FR,02,
0000121450,71,NULL,FR,FR,02,TOURNUS
0000122150,21,NULL,FR,FR,02,NUITS ST GEORGES
0000122220,NULL,NULL,FR,FR,02,
0000122300,58,NULL,FR,FR,02,CLAMECY
0000122430,21,NULL,FR,FR,02,DIJON
0000123130,NULL,NULL,FR,FR,02,
0000123420,75,NULL,FR,FR,02,PARIS
0000123450,NULL,NULL,FR,FR,07,
0000123590,63,NULL,FR,FR,07,OLLIERGUES
0000124120,21,NULL,FR,FR,02,DIJON
0000124480,21,NULL,FR,FR,02,DIJON
0000124590,21,NULL,FR,FR,07,DIJON
0000125150,39,NULL,FR,FR,02,LONS LE SAUNIER
0000125260,21,NULL,FR,FR,02,DIJON
0000125410,NULL,NULL,FR,FR,02,
0000125470,21,NULL,FR,FR,02,DIJON
0000125780,21,NULL,FR,FR,02,DIJON
0000127290,66,NULL,FR,FR,07,PERPIGNAN
0000127350,71,NULL,FR,FR,07,EPIGNAC
0000127560,NULL,NULL,FR,FR,02,
0000127610,21,NULL,FR,FR,01,DIJON
0000127950,71,NULL,FR,FR,07,AUTUN
0000128030,51,NULL,FR,FR,07,CHALONS SUR MARNE
0000128040,21,NULL,FR,FR,02,BEAUNE
0000128280,NULL,NULL,DZ,FR,02,ORAN
0000128800,69,NULL,FR,FR,07,LYON
0000129910,NULL,NULL,FR,FR,07,
0000130160,NULL,NULL,FR,FR,02,
0000130210,21,NULL,FR,FR,02,DIJON
0000130680,71,NULL,FR,FR,02,CHALON SUR SAONE
0000131210,70,NULL,FR,FR,01,ECHENOZ LA MELINE
0000132000,NULL,NULL,FR,FR,01,
0000132500,21,NULL,FR,FR,02,LAMARCHE SUR SAONE
0000132640,NULL,NULL,FR,FR,02,
0000132710,21,NULL,FR,FR,07,LACANCHE
0000132830,71,NULL,FR,FR,02,FONTAINES
0000132890,25,NULL,FR,FR,02,BESANCON
0000133250,21,NULL,FR,FR,01,LA MOTTE-TERNANT
0000133670,35,NULL,FR,FR,02,LA BOUESSIERE
0000133940,28,NULL,FR,FR,02,MOTTEREAU
0000134100,28,NULL,FR,FR,02,COURVILLE SUR EURE
0000134320,49,NULL,FR,FR,02,BEAUFORT EN VALLLEE
0000134580,28,NULL,FR,FR,07,LE COUDRAY
0000134870,28,NULL,FR,FR,02,DREUX
0000135130,28,NULL,FR,FR,02,ST MAUR SUR LOIR
0000135160,28,NULL,FR,FR,02,ST AUBIN DES BOIS
0000135170,28,NULL,FR,FR,01,CHARTRES
0000135420,76,NULL,FR,FR,05,LONGUEVILLE S SCIE
0000135530,86,NULL,FR,FR,02,CHALANDRAY
0000135730,28,NULL,FR,FR,02,CHARTRES
0000135920,40,NULL,FR,FR,02,ST LON LES MINES
0000135990,28,NULL,FR,FR,02,VILLAMPUY
0000136080,37,NULL,FR,FR,02,TOURS
0000137400,54,NULL,FR,FR,02,NANCY
0000137420,61,NULL,FR,FR,02,FLERS
0000137500,41,NULL,FR,FR,07,VILLIERS SUR LOIRE
0000137560,54,NULL,FR,FR,02,NANCY
0000138080,971,NULL,FR,FR,06,ST JOSEPH
0000138170,18,NULL,FR,FR,02,CHATENEUF SUR CHER
0000138200,35,NULL,FR,FR,02,RENNES
0000138560,36,001,FR,FR,05,LANGE
0000139130,NULL,NULL,FR,FR,07,
0000139370,NULL,NULL,FR,FR,07,
0000139450,36,NULL,FR,FR,02,CHATEAUROUX
0000139570,87,NULL,FR,FR,02,LIMOGES
0000139860,18,NULL,FR,FR,07,ST GERMAIN DU PUY
0000139990,NULL,NULL,FR,FR,02,
0000140020,37,NULL,FR,FR,02,NAZELLES NEGRON
0000140180,85,NULL,FR,FR,02,.
0000140340,36,NULL,FR,FR,02,ST MARCEL
0000140470,36,NULL,FR,FR,02,LA VERNELLE
0000140680,NULL,NULL,MA,FR,03,FEDALA
0000140760,37,NULL,FR,FR,02,ST SYMPHORIEN
0000140890,37,NULL,FR,FR,01,TOURS
0000141430,37,NULL,FR,FR,07,ARTANNES
0000141480,NULL,NULL,DZ,FR,05,BOUGIE
0000141530,37,NULL,FR,FR,07,LOCHES
0000141540,37,NULL,FR,FR,07,TOURS
0000141570,17,NULL,FR,FR,05,CLION
0000141640,37,NULL,FR,FR,02,TOURS
0000142370,38,NULL,FR,FR,02,LA TRONCHE
0000142570,86,NULL,FR,FR,07,ORCHES
